id,title,severity,active,verified,is_mitigated,false_p,cwe,test,found_by,sla_days_remaining,sla_expiration_date,created
1,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,High,True,False,False,False,89,2,[182],30,2026-05-13,2026-04-13T17:10:47.840520Z
2,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,High,True,False,False,False,89,2,[182],30,2026-05-13,2026-04-13T17:10:47.851427Z
3,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,High,True,False,False,False,89,2,[182],30,2026-05-13,2026-04-13T17:10:47.857645Z
4,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,High,True,False,False,False,89,2,[182],30,2026-05-13,2026-04-13T17:10:47.863606Z
5,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.868651Z
6,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.874487Z
7,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.881433Z
8,javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret,Medium,True,False,False,False,798,2,[182],90,2026-07-12,2026-04-13T17:10:47.887244Z
9,javascript.express.security.injection.raw-html-format.raw-html-format,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.892465Z
10,javascript.express.security.audit.express-res-sendfile.express-res-sendfile,Medium,True,False,False,False,73,2,[182],90,2026-07-12,2026-04-13T17:10:47.897305Z
11,javascript.express.security.audit.express-res-sendfile.express-res-sendfile,Medium,True,False,False,False,73,2,[182],90,2026-07-12,2026-04-13T17:10:47.903196Z
12,javascript.express.security.audit.express-res-sendfile.express-res-sendfile,Medium,True,False,False,False,73,2,[182],90,2026-07-12,2026-04-13T17:10:47.909139Z
13,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,High,True,False,False,False,89,2,[182],30,2026-05-13,2026-04-13T17:10:47.914440Z
14,javascript.express.security.audit.express-res-sendfile.express-res-sendfile,Medium,True,False,False,False,73,2,[182],90,2026-07-12,2026-04-13T17:10:47.918634Z
15,javascript.express.security.audit.possible-user-input-redirect.unknown-value-in-redirect,Medium,True,False,False,False,601,2,[182],90,2026-07-12,2026-04-13T17:10:47.923113Z
16,javascript.express.security.audit.express-open-redirect.express-open-redirect,Medium,True,False,False,False,601,2,[182],90,2026-07-12,2026-04-13T17:10:47.927421Z
17,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,High,True,False,False,False,89,2,[182],30,2026-05-13,2026-04-13T17:10:47.931790Z
18,javascript.lang.security.audit.code-string-concat.code-string-concat,High,True,False,False,False,95,2,[182],30,2026-05-13,2026-04-13T17:10:47.934692Z
19,javascript.lang.security.audit.unknown-value-with-script-tag.unknown-value-with-script-tag,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.938961Z
20,javascript.lang.security.audit.unknown-value-with-script-tag.unknown-value-with-script-tag,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.941972Z
21,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,False,548,2,[182],90,2026-07-12,2026-04-13T17:10:47.945128Z
22,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,False,548,2,[182],90,2026-07-12,2026-04-13T17:10:47.948215Z
23,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,False,548,2,[182],90,2026-07-12,2026-04-13T17:10:47.950780Z
24,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,False,548,2,[182],90,2026-07-12,2026-04-13T17:10:47.953895Z
25,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var,Medium,True,False,False,False,79,2,[182],90,2026-07-12,2026-04-13T17:10:47.956680Z
26,CVE-2022-27943 GCC-12-Base 12.2.0-14+deb12u1,Low,True,True,False,False,674,3,[208],120,2026-08-11,2026-04-13T17:10:48.270599Z
27,CVE-2025-4802 Libc6 2.36-9+deb12u10,High,True,True,False,False,426,3,[208],30,2026-05-13,2026-04-13T17:10:48.300576Z
28,CVE-2026-0861 Libc6 2.36-9+deb12u10,High,True,True,False,False,190,3,[208],30,2026-05-13,2026-04-13T17:10:48.315276Z
29,CVE-2025-15281 Libc6 2.36-9+deb12u10,Medium,True,True,False,False,908,3,[208],90,2026-07-12,2026-04-13T17:10:48.329049Z
30,CVE-2025-8058 Libc6 2.36-9+deb12u10,Medium,True,True,False,False,415,3,[208],90,2026-07-12,2026-04-13T17:10:48.342712Z
31,CVE-2026-0915 Libc6 2.36-9+deb12u10,Medium,True,True,False,False,908,3,[208],90,2026-07-12,2026-04-13T17:10:48.356206Z
32,CVE-2010-4756 Libc6 2.36-9+deb12u10,Low,True,True,False,False,399,3,[208],120,2026-08-11,2026-04-13T17:10:48.369173Z
33,CVE-2018-20796 Libc6 2.36-9+deb12u10,Low,True,True,False,False,674,3,[208],120,2026-08-11,2026-04-13T17:10:48.381311Z
34,CVE-2019-1010022 Libc6 2.36-9+deb12u10,Low,True,True,False,False,119,3,[208],120,2026-08-11,2026-04-13T17:10:48.390474Z
35,CVE-2019-1010023 Libc6 2.36-9+deb12u10,Low,True,True,False,False,0,3,[208],120,2026-08-11,2026-04-13T17:10:48.399468Z
