HIGH | rdsAutoMinorVersionUpgradeEnabled | weak_db | database.tf
HIGH | s3Versioning | public_data | main.tf
HIGH | s3Versioning | unencrypted_data | main.tf
MEDIUM | dynamoderecovery_enabled | unencrypted_table | database.tf
HIGH | rdsBackupDisabled | unencrypted_db | database.tf
HIGH | rdsBackupDisabled | weak_db | database.tf
HIGH | port3306AlbNetworkPortSecurity | database_exposed | security_groups.tf
HIGH | rdsPubliclyAccessible | unencrypted_db | database.tf
HIGH | s3PublicAclNoAccessBlock | public_data | main.tf
MEDIUM | iamUserInlinePolicy | service_policy | iam.tf
MEDIUM | rdsLogExportDisabled | unencrypted_db | database.tf
MEDIUM | rdsLogExportDisabled | weak_db | database.tf
HIGH | rdsHasStorageEncrypted | unencrypted_db | database.tf
HIGH | port5432AlbNetworkPortSecurity | database_exposed | security_groups.tf
HIGH | allUsersReadAccess | public_data | main.tf
HIGH | portWideOpenToPublic | allow_all | security_groups.tf
HIGH | port3389OpenToInternet | ssh_open | security_groups.tf
MEDIUM | rdsIamAuthEnabled | unencrypted_db | database.tf
MEDIUM | rdsIamAuthEnabled | weak_db | database.tf
MEDIUM | dynamoDbEncrypted | unencrypted_table | database.tf
HIGH | port22OpenToInternet | ssh_open | security_groups.tf
MEDIUM | programmaticAccessCreation | service_key | iam.tf
